file,seed,c,L,t,condition,crop_id,pixel_size_sites,width_sites,phase_fraction,length,length_x,length_y,resolved
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop96,0:0,1,96,0.1300998263888889,6.24008927711129,6.5785834240890315,5.901595130133548,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop96,0:32,1,96,0.1254340277777778,5.708058925623431,6.466579758425996,4.949538092820865,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop96,32:0,1,96,0.16883680555555555,6.210181599832794,6.695228628820811,5.725134570844777,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop96,32:32,1,96,0.1586371527777778,5.846753590013979,6.431190859334734,5.262316320693223,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop64,0:0,1,64,0.1806640625,7.191542269117833,6.890647763578276,7.49243677465739,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop64,0:64,1,64,0.101806640625,5.757449816509796,6.660804560024082,4.854095072995509,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop64,64:0,1,64,0.17333984375,7.406727048857633,7.530637788732766,7.282816308982499,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop64,64:64,1,64,0.144287109375,5.528133490713218,6.166628727665204,4.889638253761232,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop32,0:0,1,32,0.19140625,4.968442285434776,5.59988635499087,4.336998215878681,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop32,0:96,1,32,0.0849609375,3.6362271671974713,4.37793775741756,2.8945165769773826,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop32,96:0,1,32,0.357421875,7.272701391531779,7.372755046265569,7.172647736797988,True
c1_L128_rep001.npz,2864519957,0.15,128,200000,crop32,96:96,1,32,0.201171875,5.612628005961776,6.418536531002407,4.806719480921146,True
c1_L128_rep002.npz,2335815296,0.15,128,1,full,full,1,128,0.1500244140625,0.5981641181309387,0.6026947732680067,0.5936334629938708,True
c1_L128_rep002.npz,2335815296,0.15,128,1,bin2,full,2,128,0.14794921875,1.0132578030614474,1.0331508106608278,0.9933647954620672,True
c1_L128_rep002.npz,2335815296,0.15,128,1,bin4,full,4,128,0.0078125,2.130207032792211,2.2770387507229612,1.9833753148614608,True
c1_L128_rep002.npz,2335815296,0.15,128,1,blur1,full,1,128,0.0140380859375,0.8545834047410781,0.9063264644816659,0.8028403450004904,True
c1_L128_rep002.npz,2335815296,0.15,128,1,blur2,full,1,128,0.0001220703125,0.7538435291117194,1.0076875388734312,0.4999995193500074,True
c1_L128_rep002.npz,2335815296,0.15,128,1,blur1_threshold_minus02,full,1,128,0.04681396484375,0.9107541566740898,0.9081995216422297,0.9133087917059498,True
c1_L128_rep002.npz,2335815296,0.15,128,1,blur1_threshold_plus02,full,1,128,0.00341796875,0.7900701628002762,0.7786840149209406,0.8014563106796116,True
