c,L,n,condition,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_full,delta_low,delta_high,unresolved_fraction,matched_last_time,matched_last_length_ratio
0.15,32,8,blur1_threshold_minus02,1000,200000,28,1069,200000,0.22549971569340377,0.19928705764446167,0.2504197601116224,-0.020705359634330817,-0.02357171397294172,-0.017767345171628864,0.0,200000,1.1024928577405089
0.15,32,8,blur1_threshold_plus02,100,20000,28,105,19557,0.2210870167991846,0.19933927456344572,0.24786108276529487,0.0036086115243793293,-0.00821250069133364,0.015662267453673773,0.008333333333333333,19557,1.0663549019129173
0.15,32,8,blur1_threshold_plus02,1000,20000,16,1069,19557,0.2708135218026936,0.23259065217738023,0.30360245845976463,0.004093745581195518,-0.0037471272821847893,0.011635639713369589,0.008333333333333333,19557,1.0663549019129173
0.15,32,8,blur1_threshold_plus02,1000,200000,28,1069,200000,0.2397171359379625,0.21418584535603408,0.2645889897373134,-0.006487939389772074,-0.011109353941335335,-0.0013794519878711849,0.008333333333333333,200000,1.0322158505914458
0.15,32,8,periodic_engine,100,20000,28,105,19557,0.2258004362196468,0.2123980437827858,0.24008084219304646,0.008322030944841519,-0.0028581386932262877,0.019292835953492033,0.0,19557,1.0291429908816734
0.15,32,8,periodic_engine,1000,20000,16,1069,19557,0.2796748937127978,0.243999158666286,0.3161245631826874,0.012955117491299739,-0.009050015341755329,0.036093369159929195,0.0,19557,1.0291429908816734
0.15,32,8,periodic_engine,1000,200000,28,1069,200000,0.2340531096597941,0.2194630427436578,0.25193704846644827,-0.012151965667940495,-0.034846321529674214,0.016361052205846226,0.0,200000,0.9563407360230832
0.15,64,8,full,100,20000,28,105,19557,0.21370804608254773,0.2036033218821231,0.22202954311676842,0.0,0.0,0.0,0.0,19557,1.0
0.15,64,8,full,1000,20000,16,1069,19557,0.23656885296225075,0.21137201512120982,0.2570094544955349,0.0,0.0,0.0,0.0,19557,1.0
0.15,64,8,full,1000,200000,28,1069,200000,0.2626716153637302,0.25350007059633917,0.2716961574592742,0.0,0.0,0.0,0.0,200000,1.0
0.15,64,8,bin2,100,20000,28,105,19557,0.17836138258937956,0.16983964061006002,0.18492337573812317,-0.03534666349316817,-0.037985757076290164,-0.032204900375660685,0.0,19557,1.122624575466565
0.15,64,8,bin2,1000,20000,16,1069,19557,0.22548134195399208,0.2059392433907321,0.24120769776352313,-0.011087511008258666,-0.015711385965166785,-0.00572371686095395,0.0,19557,1.122624575466565
0.15,64,8,bin2,1000,200000,28,1069,200000,0.2476349686695489,0.23866718199193265,0.2567230772774966,-0.015036646694181283,-0.01703701634407509,-0.012889483769946352,0.0,200000,1.0715671246052547
0.15,64,8,bin4,100,20000,28,105,19557,0.11087827521785965,0.10333142651630034,0.1195866054876002,-0.10282977086468809,-0.11192578396800051,-0.09223441444591607,0.0125,19557,1.1759788664491386
0.15,64,8,bin4,1000,20000,16,1069,19557,0.17429919483713807,0.1608279909551467,0.19204347922883533,-0.062269658125112676,-0.0770613312043464,-0.04239793468923149,0.0125,19557,1.1759788664491386
0.15,64,8,bin4,1000,200000,28,1069,200000,0.21544524833710768,0.2079767757257838,0.22251210862382628,-0.0472263670266225,-0.05177607354327031,-0.041850353891933895,0.0125,200000,1.0954094679828328
0.15,64,8,blur1,100,20000,28,105,19557,0.2007573397148602,0.19255582237497548,0.2079776326615632,-0.012950706367687526,-0.016615960600789032,-0.008880211873120986,0.0,19557,1.1151969325869162
0.15,64,8,blur1,1000,20000,16,1069,19557,0.23108222249162103,0.21102868387117582,0.24738341280413637,-0.005486630470629722,-0.010125912619828316,0.0011042980350884817,0.0,19557,1.1151969325869162
