composition,L,reference_L,sweep,n_small,n_reference,resolved_small,resolved_reference,mean_small,mean_reference,difference_sites,ratio,ratio_low,ratio_high,status
0.5,32,128,23,16,16,True,True,0.9328564878591669,0.9349936633619738,-0.0021371755028068984,0.9977142353081601,0.983552954984034,1.0144055476628706,resolved
0.5,32,128,28,16,16,True,True,0.9652020733415432,0.9583802100243982,0.0068218633171449605,1.0071181178886939,0.9925332627369765,1.021614565039159,resolved
0.5,32,128,33,16,16,True,True,0.9856686174940892,0.9800218137979699,0.005646803696119251,1.0057619163335108,0.9878181522188272,1.0266321241920766,resolved
0.5,32,128,39,16,16,True,True,1.0052757127171896,0.999923615873453,0.005352096843736609,1.0053525056902086,0.9883672608138875,1.0258191194483268,resolved
0.5,32,128,47,16,16,True,True,1.031182872514489,1.0344902358003283,-0.00330736328583936,0.9968029052654319,0.9735778857102345,1.0180405567818964,resolved
0.5,32,128,56,16,16,True,True,1.0538031883470609,1.06562478647542,-0.011821598128359145,0.9889064159557893,0.9625568794741923,1.014570734803934,resolved
0.5,32,128,66,16,16,True,True,1.0918220735193014,1.0938837270374997,-0.002061653518198314,0.9981152900740358,0.9738219468176552,1.023822110341909,resolved
0.5,32,128,79,16,16,True,True,1.1383692210437157,1.1270141304201975,0.01135509062351825,1.0100753755583212,0.9864980797642423,1.031413394662638,resolved
0.5,32,128,94,16,16,True,True,1.1709218956420107,1.159631369327792,0.011290526314218674,1.0097363063925766,0.9869546975053284,1.0320821413648111,resolved
0.5,32,128,112,16,16,True,True,1.184707977377233,1.1897929004846215,-0.005084923107388395,0.9957262115908431,0.9748287965960291,1.0166025026668086,resolved
0.5,32,128,134,16,16,True,True,1.2263223685378946,1.2231404738510923,0.0031818946868023,1.002601413946171,0.9785436686016624,1.0238312361047195,resolved
0.5,32,128,159,16,16,True,True,1.265841035119271,1.259845200118311,0.005995835000960126,1.0047591839064014,0.9801510387787518,1.0294220873012645,resolved
0.5,32,128,190,16,16,True,True,1.303412060298305,1.2947598038552535,0.008652256443051565,1.0066825185778001,0.9782997008503986,1.0360894516673629,resolved
0.5,32,128,226,16,16,True,True,1.3526712889493642,1.331619209491258,0.021052079458106165,1.015809384025144,0.9911510343361384,1.0374669740807247,resolved
0.5,32,128,269,16,16,True,True,1.3995900045729737,1.3749535297965956,0.024636474776378092,1.017918041768308,0.9861071459144494,1.047935910998134,resolved
0.5,32,128,321,16,16,True,True,1.4502660254267763,1.4107233097637706,0.03954271566300571,1.028030100154528,0.998335956990207,1.0524474703207225,resolved
